Timestamp,AAPL,GOOGL,MSFT,NVDA
2024-09-10 11:00:00,219.708,149.7,413.64,107.1088
2024-09-10 11:30:00,218.0998,148.54,409.71,105.2712
2024-09-10 12:00:00,218.2995,148.845,409.81,105.4461
2024-09-10 12:30:00,219.3045,149.285,410.62,105.802
2024-09-10 13:00:00,220.0276,149.3425,411.57,106.1911
2024-09-10 13:30:00,220.567,149.52,412.04,106.5361
2024-09-10 14:00:00,220.577,150.165,412.29,107.2852
2024-09-10 14:30:00,220.1331,150.1,412.28,107.125
2024-09-10 15:00:00,220.5071,149.8622,412.15,107.5409
2024-09-10 15:30:00,219.9277,148.65,414.23,108.0109
2024-09-10 16:00:00,219.4932,148.537,414.7,107.661
2024-09-10 16:30:00,219.6181,148.65,414.665,107.791
2024-09-10 17:00:00,219.5582,148.75,414.59,107.671
2024-09-10 17:30:00,219.688,148.83,414.6,107.8809
2024-09-10 18:00:00,219.693,148.83,414.325,107.721
2024-09-10 18:30:00,219.688,148.79,415,107.751
2024-09-10 19:00:00,219.7479,148.89,414.35,107.701
2024-09-10 19:30:00,219.5082,148.85,415.09,107.591
2024-09-11 09:00:00,221.2563,149.93,414.94,109.4308
2024-09-11 09:30:00,220.2624,149.71,415.27,110.2307
2024-09-11 10:00:00,219.0088,148.22,411.91,109.3058
2024-09-11 10:30:00,218.3495,147.94,410.38,108.5659
2024-09-11 11:00:00,218.6591,148.33,411.6,109.3108
2024-09-11 11:30:00,219.4383,148.655,413.79,111.1607
2024-09-11 12:00:00,220.5922,149.445,415.96,112.8205
2024-09-11 12:30:00,220.8296,149.59,415.95,112.0656
2024-09-11 13:00:00,220.9663,149.92,417.06,113.8454
2024-09-11 13:30:00,220.8367,150.25,418.42,114.2712
2024-09-11 14:00:00,221.3762,150.315,419.93,115.2665
2024-09-11 14:30:00,221.2063,150.08,420.6532,115.0953
2024-09-11 15:00:00,221.7258,150.6701,421.3715,115.9703
2024-09-11 15:30:00,222.6148,151.17,422.94,116.8402
2024-09-11 16:00:00,221.8856,151.72,423.02,116.9402
2024-09-11 16:30:00,221.9355,151.73,422.57,116.7552
2024-09-11 17:00:00,221.7857,151.65,422,116.5102
2024-09-11 17:30:00,221.8057,151.69,422.295,116.1603
2024-09-11 18:00:00,221.8556,151.59,422.17,116.2402
2024-09-11 18:30:00,221.9655,151.89,422.295,116.2802
2024-09-11 19:00:00,222.0396,151.53,423.24,116.5699
2024-09-11 19:30:00,221.9001,151.77,422.85,116.6302
2024-09-12 09:00:00,222.2552,153.89,423.58,116.87
2024-09-12 09:30:00,220.7968,153.395,421.07,118.2601
2024-09-12 10:00:00,221.8257,153.415,421.6,119.605
2024-09-12 10:30:00,221.556,153.465,420.24,118.625
2024-09-12 11:00:00,221.6558,153.645,420.53,118.67
2024-09-12 11:30:00,221.7308,153.145,420.02,118.148
